OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
598,Medveď - pobytové znaky,2022-08-02 10:00:00,,Nedefinované,,Nedefinované,"48,70782534","18,98327841"
599,Medveď - pobytové znaky,2022-08-18 10:00:00,,Nedefinované,,Nedefinované,"48,7365192","18,82679065"
600,Medveď - vizuálny kontakt,2022-08-09 10:00:00,,Nedefinované,,Nedefinované,"48,68034615","18,96964528"
601,Medveď - vizuálny kontakt,2022-08-09 10:00:00,,Samec,,Nedefinované,"48,68034925","18,96965933"
602,Medveď - vizuálny kontakt,2022-08-04 10:00:00,,Samec,,Nedefinované,"48,6785204","18,96294628"
603,Medveď - vizuálny kontakt,2022-08-09 10:00:00,,Samec,,Nedefinované,"48,69767439","18,97662289"
604,Medveď - vizuálny kontakt,2022-08-23 10:38:09,,Samec,,9,"48,81575654","19,28499891"
605,Medveď - pobytové znaky,2022-08-23 10:39:05,,Nedefinované,,Nedefinované,"48,83624702","19,21760397"
606,Medveď - vizuálny kontakt,2022-06-18 10:00:00,,Samec,,21,"48,64669613","19,29204003"
607,Medveď - vizuálny kontakt,2020-06-23 10:00:00,Medveď sa objavil 10 minút po výstrele na zver,Nedefinované,,21,"48,64293817","19,28334264"
608,Medveď - vizuálny kontakt,2022-08-23 10:18:10,,Nedefinované,,20,"48,66889107","19,36375551"
609,Medveď - vizuálny kontakt,0202-08-16 12:57:44,Denný výskyt,Nedefinované,,18,"48,6406709","19,29077277"
610,Medveď - vizuálny kontakt,2022-07-29 10:16:12,,Nedefinované,,Nedefinované,"48,81290605","19,77953152"
611,Medveď - pobytové znaky,2022-07-29 10:16:17,,Nedefinované,,Nedefinované,"48,81317326","19,78019083"
612,Medveď - pobytové znaky,2022-07-29 10:16:22,,Nedefinované,,Nedefinované,"48,81327542","19,78362877"
613,Medveď - pobytové znaky,2022-07-29 10:16:26,,Nedefinované,,Nedefinované,"48,81306581","19,78511201"
614,Medveď - pobytové znaky,2022-07-29 10:16:30,,Nedefinované,,Nedefinované,"48,81406354","19,78557202"
615,Medveď - pobytové znaky,2022-07-29 10:16:35,,Nedefinované,,Nedefinované,"48,81342183","19,78534725"
616,Medveď - pobytové znaky,2022-07-29 10:16:39,,Nedefinované,,Nedefinované,"48,8136638","19,78405936"
617,Medveď - pobytové znaky,2022-07-29 10:16:43,,Nedefinované,,Nedefinované,"48,81421458","19,78411266"
618,Medveď - pobytové znaky,2022-07-29 10:16:50,,Nedefinované,,Nedefinované,"48,8130935","19,78164305"
619,Medveď - pobytové znaky,2022-07-29 10:17:11,,Nedefinované,,Nedefinované,"48,82394827","19,76073123"
620,Medveď - pobytové znaky,2022-07-29 10:17:17,,Nedefinované,,Nedefinované,"48,82437549","19,76123008"
621,Medveď - pobytové znaky,2022-07-29 10:17:24,,Nedefinované,,Nedefinované,"48,82365686","19,7614286"
622,Medveď - vizuálny kontakt,2022-05-05 10:00:00,,Nedefinované,,6,"49,40292859","19,10121323"
623,Medveď - vizuálny kontakt,2022-07-10 10:00:00,,Nedefinované,,Nedefinované,"49,41099102","19,07611831"
624,Medveď - pobytové znaky,2022-08-15 10:16:39,,Nedefinované,,Nedefinované,"49,40044027","19,06751254"
625,Medveď - pobytové znaky,2022-08-15 10:17:05,,Nedefinované,,Nedefinované,"49,39716592","19,06472881"
626,Medveď - pobytové znaky,2022-07-13 10:00:00,,Nedefinované,,Nedefinované,"49,4070428","19,06181381"
627,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"49,40700725","19,06836251"
628,Medveď - pobytové znaky,2022-04-21 10:00:00,,Nedefinované,,Nedefinované,"49,40101557","19,06320541"
629,Medveď - pobytové znaky,2022-08-15 10:20:15,,Nedefinované,,Nedefinované,"49,40103751","19,06316632"
630,Medveď - pobytové znaky,2022-05-12 10:00:00,,Stopa,,7,"49,30472022","18,97421452"
631,Medveď - vizuálny kontakt,2022-07-28 10:00:00,,Nedefinované,,Nedefinované,"49,39668614","19,06422218"
632,Medveď - pobytové znaky,2022-06-06 10:00:00,,Nedefinované,,Nedefinované,"49,40171863","19,07146385"
633,Medveď - pobytové znaky,2022-06-25 10:00:00,,Nedefinované,,Nedefinované,"49,412269","19,05799601"
634,Medveď - pobytové znaky,2022-07-17 10:00:00,,Značkovacie stromy a vývratiská,,14,"49,37810933","18,96711814"
635,Medveď - vizuálny kontakt,2022-05-05 10:00:00,,Nedefinované,,Nedefinované,"49,4029051","19,05050648"
636,Medveď - pobytové znaky,2022-06-24 10:00:00,,Nedefinované,,Nedefinované,"49,40851091","19,0849207"
637,Medveď - pobytové znaky,2022-06-01 10:00:00,,Nedefinované,,Nedefinované,"49,4082156","19,09983536"
638,Medveď - vizuálny kontakt,2021-07-23 10:00:00,,Medvedica s mladými,,21,"48,66947744","19,30343362"
